model,tau_up,tau_dn,margin,median_sharpe,geo_equity,avg_trades,total_trades,avg_win_rate
logreg,0.35,0.75,0.12,1.7410696813492845,1.261230020955189,12.10344827586207,351,0.5744104554449382
logreg,0.35,0.75,0.14,1.7410696813492845,1.261230020955189,12.10344827586207,351,0.5744104554449382
logreg,0.35,0.75,0.16,1.7410696813492845,1.261230020955189,12.10344827586207,351,0.5744104554449382
logreg,0.35,0.75,0.18,1.7410696813492845,1.261230020955189,12.10344827586207,351,0.5744104554449382
logreg,0.35,0.75,0.2,1.7410696813492845,1.261230020955189,12.10344827586207,351,0.5744104554449382
logreg,0.4,0.35,0.0,2.298512317560796,1.6315503286532518,12.31578947368421,468,0.6027379053694846
logreg,0.4,0.35,0.02,2.298512317560796,1.5921336290714738,12.31578947368421,468,0.6027379053694846
logreg,0.4,0.35,0.04,2.298512317560796,1.630845679876319,12.31578947368421,468,0.6067864883654359
logreg,0.4,0.35,0.06,2.3288372471998464,1.6306219629854377,12.31578947368421,468,0.6088107798634116
logreg,0.4,0.35,0.08,2.387808858647346,1.6559334880558132,12.31578947368421,468,0.6027379053694846
logreg,0.4,0.35,0.1,2.298512317560796,1.6225338753467593,12.289473684210526,467,0.5975084856663805
logreg,0.4,0.35,0.12,2.455753370360765,1.653006854539045,12.236842105263158,465,0.6125986586512905
logreg,0.4,0.35,0.14,2.387808858647346,1.7002086931392226,12.210526315789474,464,0.6201897517686993
logreg,0.4,0.35,0.16,2.387808858647346,1.689784290351376,12.18421052631579,463,0.6213859240175031
logreg,0.4,0.35,0.18,2.387808858647346,1.689784290351376,12.18421052631579,463,0.6213859240175031
logreg,0.4,0.35,0.2,2.4022785925887593,1.6912714894251597,12.18421052631579,463,0.6191929415613628
logreg,0.4,0.4,0.0,2.1211524071496677,1.7579059563363912,12.617647058823529,429,0.6034313725490197
logreg,0.4,0.4,0.02,2.1211524071496677,1.7476924739821795,12.617647058823529,429,0.6034313725490197
