model,tau_up,tau_dn,margin,median_sharpe,geo_equity,avg_trades,total_trades,avg_win_rate
linsvc,0.4,0.5,0.04,2.5283874794577907,1.7398685748890634,12.066666666666666,362,0.6109459984459986
linsvc,0.4,0.5,0.06,2.5283874794577907,1.7398685748890634,12.066666666666666,362,0.6109459984459986
linsvc,0.4,0.5,0.08,2.5283874794577907,1.7398685748890634,12.066666666666666,362,0.6109459984459986
linsvc,0.4,0.5,0.1,2.5283874794577907,1.7398685748890634,12.066666666666666,362,0.6109459984459986
linsvc,0.4,0.5,0.12,2.5283874794577907,1.7398685748890634,12.066666666666666,362,0.6109459984459986
linsvc,0.4,0.5,0.14,2.5283874794577907,1.736507399806414,12.066666666666666,362,0.6109459984459986
linsvc,0.4,0.5,0.16,2.5283874794577907,1.736507399806414,12.066666666666666,362,0.6109459984459986
linsvc,0.4,0.5,0.18,2.5283874794577907,1.736507399806414,12.066666666666666,362,0.6109459984459986
linsvc,0.4,0.5,0.2,2.5283874794577907,1.736507399806414,12.066666666666666,362,0.6109459984459986
linsvc,0.4,0.55,0.0,2.490025524200498,1.720386968918107,11.724137931034482,340,0.610041395386223
linsvc,0.4,0.55,0.02,2.490025524200498,1.720386968918107,11.724137931034482,340,0.610041395386223
linsvc,0.4,0.55,0.04,2.490025524200498,1.720386968918107,11.724137931034482,340,0.610041395386223
linsvc,0.4,0.55,0.06,2.490025524200498,1.720386968918107,11.724137931034482,340,0.610041395386223
linsvc,0.4,0.55,0.08,2.490025524200498,1.720386968918107,11.724137931034482,340,0.610041395386223
linsvc,0.4,0.55,0.1,2.490025524200498,1.720386968918107,11.724137931034482,340,0.610041395386223
linsvc,0.4,0.55,0.12,2.490025524200498,1.720386968918107,11.724137931034482,340,0.610041395386223
linsvc,0.4,0.55,0.14,2.490025524200498,1.7103148808278537,11.724137931034482,340,0.6073888754923238
linsvc,0.4,0.55,0.16,2.490025524200498,1.7103148808278537,11.724137931034482,340,0.6073888754923238
linsvc,0.4,0.55,0.18,2.490025524200498,1.7103148808278537,11.724137931034482,340,0.6073888754923238
linsvc,0.4,0.55,0.2,2.490025524200498,1.7103148808278537,11.724137931034482,340,0.6073888754923238
linsvc,0.4,0.6,0.0,2.5667494347150837,1.8574568123909128,11.925925925925926,322,0.6200020144464589
linsvc,0.4,0.6,0.02,2.5667494347150837,1.8574568123909128,11.925925925925926,322,0.6200020144464589
linsvc,0.4,0.6,0.04,2.5667494347150837,1.8574568123909128,11.925925925925926,322,0.6200020144464589
linsvc,0.4,0.6,0.06,2.5667494347150837,1.8574568123909128,11.925925925925926,322,0.6200020144464589
linsvc,0.4,0.6,0.08,2.5667494347150837,1.8574568123909128,11.925925925925926,322,0.6200020144464589
linsvc,0.4,0.6,0.1,2.5667494347150837,1.8574568123909128,11.925925925925926,322,0.6200020144464589
linsvc,0.4,0.6,0.12,2.5667494347150837,1.8574568123909128,11.925925925925926,322,0.6200020144464589
linsvc,0.4,0.6,0.14,2.5667494347150837,1.8574568123909128,11.925925925925926,322,0.6200020144464589
linsvc,0.4,0.6,0.16,2.5667494347150837,1.8574568123909128,11.925925925925926,322,0.6200020144464589
linsvc,0.4,0.6,0.18,2.5667494347150837,1.8574568123909128,11.925925925925926,322,0.6200020144464589
linsvc,0.4,0.6,0.2,2.5667494347150837,1.8574568123909128,11.925925925925926,322,0.6200020144464589
linsvc,0.4,0.65,0.0,2.088628351884236,1.6371775541438143,11.555555555555555,312,0.6042584987029431
linsvc,0.4,0.65,0.02,2.088628351884236,1.6371775541438143,11.555555555555555,312,0.6042584987029431
linsvc,0.4,0.65,0.04,2.088628351884236,1.6371775541438143,11.555555555555555,312,0.6042584987029431
linsvc,0.4,0.65,0.06,2.088628351884236,1.6371775541438143,11.555555555555555,312,0.6042584987029431
linsvc,0.4,0.65,0.08,2.088628351884236,1.6371775541438143,11.555555555555555,312,0.6042584987029431
linsvc,0.4,0.65,0.1,2.088628351884236,1.6371775541438143,11.555555555555555,312,0.6042584987029431
linsvc,0.4,0.65,0.12,2.088628351884236,1.6371775541438143,11.555555555555555,312,0.6042584987029431
linsvc,0.4,0.65,0.14,2.088628351884236,1.6371775541438143,11.555555555555555,312,0.6042584987029431
linsvc,0.4,0.65,0.16,2.088628351884236,1.6371775541438143,11.555555555555555,312,0.6042584987029431
linsvc,0.4,0.65,0.18,2.088628351884236,1.6371775541438143,11.555555555555555,312,0.6042584987029431
linsvc,0.4,0.65,0.2,2.088628351884236,1.6371775541438143,11.555555555555555,312,0.6042584987029431
linsvc,0.4,0.7,0.0,2.289326938042367,1.5564658809008383,11.653846153846153,303,0.6022952474875551
linsvc,0.4,0.7,0.02,2.289326938042367,1.5564658809008383,11.653846153846153,303,0.6022952474875551
linsvc,0.4,0.7,0.04,2.289326938042367,1.5564658809008383,11.653846153846153,303,0.6022952474875551
linsvc,0.4,0.7,0.06,2.289326938042367,1.5564658809008383,11.653846153846153,303,0.6022952474875551
linsvc,0.4,0.7,0.08,2.289326938042367,1.5564658809008383,11.653846153846153,303,0.6022952474875551
linsvc,0.4,0.7,0.1,2.289326938042367,1.5564658809008383,11.653846153846153,303,0.6022952474875551
linsvc,0.4,0.7,0.12,2.289326938042367,1.5564658809008383,11.653846153846153,303,0.6022952474875551
linsvc,0.4,0.7,0.14,2.289326938042367,1.5564658809008383,11.653846153846153,303,0.6022952474875551
linsvc,0.4,0.7,0.16,2.289326938042367,1.5564658809008383,11.653846153846153,303,0.6022952474875551
linsvc,0.4,0.7,0.18,2.289326938042367,1.5564658809008383,11.653846153846153,303,0.6022952474875551
linsvc,0.4,0.7,0.2,2.289326938042367,1.5564658809008383,11.653846153846153,303,0.6022952474875551
linsvc,0.4,0.75,0.0,2.490025524200498,1.7080129962319581,11.72,293,0.6030753690753691
linsvc,0.4,0.75,0.02,2.490025524200498,1.7080129962319581,11.72,293,0.6030753690753691
linsvc,0.4,0.75,0.04,2.490025524200498,1.7080129962319581,11.72,293,0.6030753690753691
linsvc,0.4,0.75,0.06,2.490025524200498,1.7080129962319581,11.72,293,0.6030753690753691
linsvc,0.4,0.75,0.08,2.490025524200498,1.7080129962319581,11.72,293,0.6030753690753691
linsvc,0.4,0.75,0.1,2.490025524200498,1.7080129962319581,11.72,293,0.6030753690753691
linsvc,0.4,0.75,0.12,2.490025524200498,1.7080129962319581,11.72,293,0.6030753690753691
linsvc,0.4,0.75,0.14,2.490025524200498,1.7080129962319581,11.72,293,0.6030753690753691
linsvc,0.4,0.75,0.16,2.490025524200498,1.7080129962319581,11.72,293,0.6030753690753691
linsvc,0.4,0.75,0.18,2.490025524200498,1.7080129962319581,11.72,293,0.6030753690753691
linsvc,0.4,0.75,0.2,2.490025524200498,1.7080129962319581,11.72,293,0.6030753690753691
linsvc,0.45,0.35,0.0,2.3207216973100473,1.6703394897647943,11.948717948717949,466,0.6242452703991166
linsvc,0.45,0.35,0.02,2.3207216973100473,1.6703394897647943,11.948717948717949,466,0.6242452703991166
linsvc,0.45,0.35,0.04,2.3207216973100473,1.6703394897647943,11.948717948717949,466,0.6242452703991166
linsvc,0.45,0.35,0.06,2.3207216973100473,1.6703394897647943,11.948717948717949,466,0.6242452703991166
linsvc,0.45,0.35,0.08,2.3207216973100473,1.6568556994218682,11.948717948717949,466,0.6222728838113454
linsvc,0.45,0.35,0.1,2.3207216973100473,1.6600887814055718,11.948717948717949,466,0.6242452703991166
