entry_time,exit_time,direction,entry_open,exit_open,gross_return,net_return
2024-08-30 16:00:00,2024-09-02 00:00:00,LONG,58700.02,57742.01,-0.016320437369527263,-0.04996131210858179
2024-09-02 04:00:00,2024-09-04 12:00:00,LONG,57547.99,58134.0,0.010182979457666663,0.02954893837299999
2024-09-13 16:00:00,2024-09-16 00:00:00,LONG,59743.99,58575.09,-0.019565147891863255,-0.059695443675589765
2024-09-17 08:00:00,2024-09-19 16:00:00,LONG,59080.99,63251.99,0.07059800453580745,0.21079401360742234
2024-09-20 04:00:00,2024-09-22 08:00:00,LONG,63524.8,62784.0,-0.011661587285595632,-0.035984761856786895
2024-09-22 20:00:00,2024-09-25 04:00:00,LONG,63578.76,63843.33,0.004161295376002849,0.011483886128008547
2024-09-25 04:00:00,2024-09-27 12:00:00,LONG,63843.33,66006.01,0.03387479945046712,0.10062439835140136
2024-10-02 08:00:00,2024-10-04 16:00:00,LONG,61164.01,62368.0,0.01968461518464859,0.05805384555394577
2024-10-15 00:00:00,2024-10-17 08:00:00,LONG,65400.0,66872.43,0.022514220183486033,0.0665426605504581
2024-10-18 00:00:00,2024-10-20 08:00:00,LONG,67555.4,68420.01,0.01279853275977949,0.03739559827933847
2024-10-23 20:00:00,2024-10-26 04:00:00,LONG,66668.65,67007.99,0.005089948574030112,0.014269845722090335
2024-10-26 04:00:00,2024-10-28 12:00:00,LONG,67007.99,68494.2,0.022179593806648912,0.06553878141994673
2024-10-29 00:00:00,2024-10-31 08:00:00,LONG,70938.14,72226.0,0.018154690833450005,0.05346407250035001
2024-10-31 12:00:00,2024-11-02 20:00:00,LONG,70620.0,69374.74,-0.0176332483715661,-0.053899745114698305
2024-11-02 20:00:00,2024-11-05 04:00:00,LONG,69374.74,68893.99,-0.006929755700706086,-0.02178926710211826
2024-11-05 08:00:00,2024-11-07 16:00:00,LONG,68810.03,76530.39,0.11219817808537513,0.3355945342561254
2024-11-07 16:00:00,2024-11-10 00:00:00,LONG,76530.39,77205.96,0.008827473634983596,0.025482420904950787
2024-11-10 00:00:00,2024-11-12 08:00:00,LONG,77205.96,87155.55,0.12887075039284523,0.3856122511785357
2024-11-12 08:00:00,2024-11-14 16:00:00,LONG,87155.55,89463.99,0.02648643718042054,0.07845931154126162
2024-11-14 16:00:00,2024-11-17 00:00:00,LONG,89463.99,90247.86,0.008761849320603643,0.025285547961810928
2024-11-29 04:00:00,2024-12-01 12:00:00,LONG,95625.05,97028.02,0.014671574027935064,0.04301472208380519
2024-12-21 16:00:00,2024-12-24 00:00:00,LONG,97269.03,94348.75,-0.03002271123707101,-0.09106813371121303
2024-12-24 00:00:00,2024-12-26 08:00:00,LONG,94348.75,95695.81,0.014277454656262067,0.0418323639687862
2024-12-26 08:00:00,2024-12-28 16:00:00,LONG,95695.81,95027.76,-0.006980974402118534,-0.021942923206355602
2025-01-09 16:00:00,2025-01-12 00:00:00,LONG,91909.59,94622.4,0.029516071173856906,0.08754821352157072
2025-01-13 12:00:00,2025-01-15 20:00:00,LONG,92123.75,100497.35,0.09089512747798478,0.27168538243395435
2025-01-16 04:00:00,2025-01-18 12:00:00,LONG,99799.99,104568.96,0.04778527532918586,0.14235582598755758
2025-01-18 20:00:00,2025-01-21 04:00:00,LONG,104556.23,101989.05,-0.024553104104843793,-0.07465931231453138
2025-02-17 04:00:00,2025-02-19 12:00:00,SHORT,96068.22,95943.74,0.0012974270129557652,0.0028922810388672957
2025-02-20 20:00:00,2025-02-23 04:00:00,SHORT,98305.0,96508.85,0.018611246533349002,0.054833739600047005
2025-02-23 04:00:00,2025-02-25 12:00:00,SHORT,96508.85,87231.26,0.10635625348069033,0.318068760442071
2025-02-25 12:00:00,2025-02-27 20:00:00,SHORT,87231.26,84708.58,0.029780690456621794,0.08834207136986538
2025-03-16 00:00:00,2025-03-18 08:00:00,SHORT,84332.34,82581.1,0.021206305074647824,0.06261891522394347
